school_name,district_name,county_name,grade_12_enrollment,total_num_test_takers,num_erw_benchmark,pct_erw_benchmark,num_math_benchmark,pct_math_benchmark,num_test_takers_benchmark,perc_participation,pct_test_takers_benchmark,year
Academy of Medical Arts at Carson High,Los Angeles Unified,Los Angeles,126.0,53.0,35.0,66.04,17.0,32.08,15.0,42.06349206349206,28.3,2018-19
Golden Valley High,William S. Hart Union High,Los Angeles,479.0,175.0,137.0,78.29,93.0,53.14,88.0,36.53444676409186,50.29,2018-19
El Dorado High,Placentia-Yorba Linda Unified,Orange,462.0,176.0,158.0,89.77,139.0,78.98,133.0,38.095238095238095,75.57,2018-19
Valley View High,Moreno Valley Unified,Riverside,595.0,538.0,227.0,42.19,123.0,22.86,115.0,90.4201680672269,21.38,2018-19
Northcoast Preparatory and Performing Arts Academy,Humboldt County Office of Education,Humboldt,25.0,15.0,13.0,86.67,12.0,80.0,10.0,60.0,66.67,2018-19
L.A. County High School for the Arts,Los Angeles County Office of Education,Los Angeles,128.0,72.0,70.0,97.22,35.0,48.61,35.0,56.25,48.61,2018-19
Ivy Academia,Los Angeles Unified,Los Angeles,43.0,19.0,12.0,63.16,7.0,36.84,7.0,44.18604651162791,36.84,2018-19
John H. Glenn High,Norwalk-La Mirada Unified,Los Angeles,314.0,279.0,74.0,26.52,42.0,15.05,31.0,88.85350318471338,11.11,2018-19
Madera South High,Madera Unified,Madera,621.0,130.0,60.0,46.15,27.0,20.77,24.0,20.933977455716587,18.46,2018-19
Placer High,Placer Union High,Placer,343.0,101.0,87.0,86.14,71.0,70.3,69.0,29.44606413994169,68.32,2018-19
Mt. Diablo High,Mt. Diablo Unified,Contra Costa,255.0,104.0,54.0,51.92,36.0,34.62,32.0,40.78431372549019,30.77,2018-19
Franklin High,Elk Grove Unified,Sacramento,595.0,283.0,251.0,88.69,210.0,74.2,202.0,47.56302521008403,71.38,2018-19
Henry J. Kaiser High,Fontana Unified,San Bernardino,516.0,227.0,132.0,58.15,64.0,28.19,63.0,43.992248062015506,27.75,2018-19
Fallbrook High,Fallbrook Union High,San Diego,464.0,105.0,78.0,74.29,53.0,50.48,51.0,22.629310344827587,48.57,2018-19
Mission High,San Francisco Unified,San Francisco,324.0,131.0,58.0,44.27,40.0,30.53,33.0,40.4320987654321,25.19,2018-19
Monte Vista High,San Ramon Valley Unified,Contra Costa,597.0,243.0,231.0,95.06,203.0,83.54,200.0,40.7035175879397,82.3,2018-19
Edward R. Roybal Learning Center,Los Angeles Unified,Los Angeles,233.0,97.0,44.0,45.36,22.0,22.68,20.0,41.63090128755365,20.62,2018-19
Alain Leroy Locke College Preparatory Academy,Los Angeles Unified,Los Angeles,382.0,98.0,28.0,28.57,10.0,10.2,9.0,25.654450261780106,9.18,2018-19
Fremont Academy of Engineering and Design,Pomona Unified,Los Angeles,90.0,43.0,22.0,51.16,9.0,20.93,9.0,47.77777777777778,20.93,2018-19
Coalinga High,Coalinga-Huron Unified,Fresno,236.0,59.0,38.0,64.41,15.0,25.42,15.0,25.0,25.42,2018-19
Linda Esperanza Marquez High C School of Social Justice,Los Angeles Unified,Los Angeles,122.0,60.0,25.0,41.67,9.0,15.0,6.0,49.18032786885246,10.0,2018-19
Central High East Campus,Central Unified,Fresno,913.0,379.0,224.0,59.1,98.0,25.86,94.0,41.51150054764513,24.8,2018-19
Manual Arts Senior High,Los Angeles Unified,Los Angeles,377.0,208.0,67.0,32.21,19.0,9.13,17.0,55.172413793103445,8.17,2018-19
Reseda Charter High,Los Angeles Unified,Los Angeles,349.0,294.0,102.0,34.69,50.0,17.01,45.0,84.2406876790831,15.31,2018-19
Theodore Roosevelt Senior High,Los Angeles Unified,Los Angeles,306.0,116.0,45.0,38.79,11.0,9.48,11.0,37.908496732026144,9.48,2018-19
Terra Nova High,Jefferson Union High,San Mateo,208.0,171.0,130.0,76.02,92.0,53.8,90.0,82.21153846153845,52.63,2018-19
Oakland Technical High,Oakland Unified,Alameda,492.0,186.0,156.0,83.87,116.0,62.37,114.0,37.80487804878049,61.29,2018-19
School of Business and Tourism at Contreras Learning Complex,Los Angeles Unified,Los Angeles,104.0,86.0,37.0,43.02,17.0,19.77,16.0,82.6923076923077,18.6,2018-19
Aveson Global Leadership Academy,Pasadena Unified,Los Angeles,49.0,24.0,15.0,62.5,6.0,25.0,6.0,48.97959183673469,25.0,2018-19
La Sierra High,Alvord Unified,Riverside,418.0,99.0,66.0,66.67,43.0,43.43,40.0,23.684210526315788,40.4,2018-19
The MET,Sacramento City Unified,Sacramento,60.0,15.0,7.0,46.67,3.0,20.0,3.0,25.0,20.0,2018-19
Wilmer Amina Carter High,Rialto Unified,San Bernardino,583.0,173.0,96.0,55.49,52.0,30.06,44.0,29.674099485420243,25.43,2018-19
Eisenhower Senior High,Rialto Unified,San Bernardino,524.0,124.0,57.0,45.97,39.0,31.45,35.0,23.66412213740458,28.23,2018-19
San Diego International Studies,San Diego Unified,San Diego,286.0,116.0,79.0,68.1,44.0,37.93,43.0,40.55944055944056,37.07,2018-19
Santa Ynez Valley Union High,Santa Ynez Valley Union High,Santa Barbara,220.0,69.0,63.0,91.3,49.0,71.01,48.0,31.363636363636367,69.57,2018-19
Lifeline Education Charter,Compton Unified,Los Angeles,59.0,21.0,4.0,19.05,1.0,4.76,1.0,35.59322033898305,4.76,2018-19
Quartz Hill High,Antelope Valley Union High,Los Angeles,750.0,188.0,168.0,89.36,115.0,61.17,113.0,25.066666666666666,60.11,2018-19
CHAMPS - Charter HS of Arts-Multimedia & Performing,Los Angeles Unified,Los Angeles,182.0,84.0,58.0,69.05,31.0,36.9,29.0,46.15384615384615,34.52,2018-19
Santee Education Complex,Los Angeles Unified,Los Angeles,384.0,334.0,94.0,28.14,31.0,9.28,28.0,86.97916666666666,8.38,2018-19
Aragon High,San Mateo Union High,San Mateo,385.0,172.0,157.0,91.28,137.0,79.65,135.0,44.675324675324674,78.49,2018-19
College Bridge Academy,Inyo County Office of Education,Inyo,86.0,23.0,1.0,4.35,1.0,4.35,0.0,26.744186046511626,0.0,2018-19
Felicitas and Gonzalo Mendez High,Los Angeles Unified,Los Angeles,247.0,139.0,57.0,41.01,27.0,19.42,21.0,56.2753036437247,15.11,2018-19
New Designs Charter School-Watts,Los Angeles Unified,Los Angeles,47.0,25.0,4.0,16.0,1.0,4.0,1.0,53.191489361702125,4.0,2018-19
Ambassador-Global Leadership,Los Angeles Unified,Los Angeles,68.0,45.0,23.0,51.11,10.0,22.22,10.0,66.17647058823529,22.22,2018-19
Anderson Valley Junior-Senior High,Anderson Valley Unified,Mendocino,46.0,25.0,17.0,68.0,5.0,20.0,5.0,54.347826086956516,20.0,2018-19
Santa Barbara Senior High,Santa Barbara Unified,Santa Barbara,519.0,157.0,140.0,89.17,108.0,68.79,105.0,30.2504816955684,66.88,2018-19
Foothill High,Shasta Union High,Shasta,317.0,61.0,53.0,86.89,39.0,63.93,38.0,19.242902208201894,62.3,2018-19
Riverdale High,Riverdale Joint Unified,Fresno,124.0,41.0,19.0,46.34,10.0,24.39,9.0,33.064516129032256,21.95,2018-19
e3 Civic High,San Diego Unified,San Diego,81.0,32.0,21.0,65.63,12.0,37.5,12.0,39.50617283950617,37.5,2018-19
Downtown College Prep - Alum Rock,Santa Clara County Office of Education,Santa Clara,61.0,19.0,9.0,47.37,4.0,21.05,4.0,31.147540983606557,21.05,2018-19
Williams Junior/Senior High,Williams Unified,Colusa,78.0,29.0,11.0,37.93,1.0,3.45,0.0,37.17948717948718,0.0,2018-19
Calabasas High,Las Virgenes Unified,Los Angeles,524.0,203.0,185.0,91.13,143.0,70.44,139.0,38.74045801526718,68.47,2018-19
Los Angeles Center for Enriched Studies,Los Angeles Unified,Los Angeles,210.0,118.0,99.0,83.9,85.0,72.03,82.0,56.19047619047619,69.49,2018-19
Downtown Business High,Los Angeles Unified,Los Angeles,203.0,154.0,118.0,76.62,84.0,54.55,82.0,75.86206896551724,53.25,2018-19
Benjamin Franklin Senior High,Los Angeles Unified,Los Angeles,277.0,158.0,71.0,44.94,58.0,36.71,46.0,57.03971119133574,29.11,2018-19
Alta Loma High,Chaffey Joint Union High,San Bernardino,634.0,231.0,164.0,71.0,107.0,46.32,101.0,36.435331230283914,43.72,2018-19
Guajome Park Academy Charter,Vista Unified,San Diego,103.0,41.0,32.0,78.05,28.0,68.29,27.0,39.80582524271845,65.85,2018-19
Corning High,Corning Union High,Tehama,206.0,30.0,24.0,80.0,18.0,60.0,18.0,14.563106796116504,60.0,2018-19
Communication and Technology at Diego Rivera Learning Complex,Los Angeles Unified,Los Angeles,103.0,43.0,10.0,23.26,6.0,13.95,5.0,41.74757281553398,11.63,2018-19
Alliance Margaret M. Bloomfield Technology Academy High,Los Angeles Unified,Los Angeles,114.0,108.0,43.0,39.81,11.0,10.19,11.0,94.73684210526315,10.19,2018-19
Hemet High,Hemet Unified,Riverside,573.0,405.0,204.0,50.37,103.0,25.43,98.0,70.68062827225131,24.2,2018-19
Aspire Alexander Twilight Secondary Academy,San Juan Unified,Sacramento,36.0,26.0,12.0,46.15,4.0,15.38,4.0,72.22222222222221,15.38,2018-19
"Humphreys College Academy of Business, Law and Education",New Jerusalem Elementary,San Joaquin,55.0,50.0,23.0,46.0,12.0,24.0,11.0,90.9090909090909,22.0,2018-19
Dixon High,Dixon Unified,Solano,246.0,94.0,73.0,77.66,62.0,65.96,59.0,38.21138211382114,62.77,2018-19
Leroy Greene Academy,Natomas Unified,Sacramento,67.0,37.0,16.0,43.24,4.0,10.81,4.0,55.223880597014926,10.81,2018-19
Lindsay Senior High,Lindsay Unified,Tulare,250.0,100.0,55.0,55.0,15.0,15.0,12.0,40.0,12.0,2018-19
Paradise Senior High,Paradise Unified,Butte,231.0,52.0,48.0,92.31,39.0,75.0,38.0,22.51082251082251,73.08,2018-19
Everett Alvarez High,Salinas Union High,Monterey,607.0,161.0,102.0,63.35,51.0,31.68,48.0,26.523887973640857,29.81,2018-19
Armijo High,Fairfield-Suisun Unified,Solano,500.0,127.0,104.0,81.89,79.0,62.2,75.0,25.4,59.06,2018-19
Burroughs High,Sierra Sands Unified,Kern,331.0,86.0,76.0,88.37,63.0,73.26,62.0,25.981873111782477,72.09,2018-19
Phineas Banning Senior High,Los Angeles Unified,Los Angeles,545.0,176.0,96.0,54.55,41.0,23.3,39.0,32.29357798165138,22.16,2018-19
Nogales High,Rowland Unified,Los Angeles,433.0,183.0,107.0,58.47,52.0,28.42,48.0,42.263279445727484,26.23,2018-19
Central Valley High,Ceres Unified,Stanislaus,439.0,190.0,109.0,57.37,44.0,23.16,38.0,43.28018223234624,20.0,2018-19
Santa Susana High,Simi Valley Unified,Ventura,252.0,67.0,65.0,97.01,54.0,80.6,54.0,26.58730158730159,80.6,2018-19
Royal High,Simi Valley Unified,Ventura,456.0,133.0,119.0,89.47,87.0,65.41,81.0,29.166666666666668,60.9,2018-19
Del Lago Academy - Campus of Applied Science,Escondido Union High,San Diego,178.0,97.0,80.0,82.47,47.0,48.45,47.0,54.49438202247191,48.45,2018-19
Valley Center High,Valley Center-Pauma Unified,San Diego,267.0,109.0,77.0,70.64,43.0,39.45,41.0,40.823970037453186,37.61,2018-19
Grace M. Davis High,Modesto City High,Stanislaus,452.0,111.0,63.0,56.76,34.0,30.63,30.0,24.557522123893804,27.03,2018-19
Wheatland Union High,Wheatland Union High,Yuba,166.0,52.0,43.0,82.69,27.0,51.92,26.0,31.32530120481928,50.0,2018-19
Capistrano Valley High,Capistrano Unified,Orange,521.0,153.0,142.0,92.81,120.0,78.43,117.0,29.366602687140116,76.47,2018-19
San Clemente High,Capistrano Unified,Orange,808.0,234.0,216.0,92.31,190.0,81.2,187.0,28.960396039603957,79.91,2018-19
Aspire Golden State College Preparatory Academy,Oakland Unified,Alameda,65.0,29.0,12.0,41.38,11.0,37.93,8.0,44.61538461538462,27.59,2018-19
Fremont High,Oakland Unified,Alameda,154.0,43.0,13.0,30.23,3.0,6.98,2.0,27.92207792207792,4.65,2018-19
Redwood High,Tamalpais Union High,Marin,447.0,176.0,171.0,97.16,158.0,89.77,158.0,39.37360178970917,89.77,2018-19
Riverside County Education Academy,Riverside County Office of Education,Riverside,67.0,50.0,2.0,4.0,1.0,2.0,1.0,74.6268656716418,2.0,2018-19
Orangewood High (Continuation),Redlands Unified,San Bernardino,139.0,44.0,14.0,31.82,2.0,4.55,2.0,31.654676258992804,4.55,2018-19
Redlands Senior High,Redlands Unified,San Bernardino,569.0,360.0,269.0,74.72,218.0,60.56,198.0,63.2688927943761,55.0,2018-19
McClymonds High,Oakland Unified,Alameda,77.0,45.0,13.0,28.89,5.0,11.11,5.0,58.44155844155844,11.11,2018-19
American Indian Public High,Oakland Unified,Alameda,62.0,63.0,44.0,69.84,41.0,65.08,34.0,101.61290322580645,53.97,2018-19
Coliseum College Prep Academy,Oakland Unified,Alameda,63.0,22.0,8.0,36.36,2.0,9.09,2.0,34.92063492063492,9.09,2018-19
Southwest High,Central Union High,Imperial,513.0,183.0,126.0,68.85,76.0,41.53,72.0,35.67251461988304,39.34,2018-19
Bonita High,Bonita Unified,Los Angeles,471.0,182.0,151.0,82.97,108.0,59.34,104.0,38.6411889596603,57.14,2018-19
Malibu High,Santa Monica-Malibu Unified,Los Angeles,157.0,72.0,65.0,90.28,56.0,77.78,55.0,45.85987261146497,76.39,2018-19
Cordova High,Folsom-Cordova Unified,Sacramento,386.0,89.0,65.0,73.03,43.0,48.31,38.0,23.05699481865285,42.7,2018-19
Madison Park Academy 6-12,Oakland Unified,Alameda,93.0,28.0,11.0,39.29,4.0,14.29,4.0,30.107526881720432,14.29,2018-19
"Math, Science, & Technology Magnet Academy at Roosevelt High",Los Angeles Unified,Los Angeles,104.0,60.0,39.0,65.0,20.0,33.33,19.0,57.692307692307686,31.67,2018-19
Pacheco High,Los Banos Unified,Merced,418.0,120.0,72.0,60.0,31.0,25.83,29.0,28.708133971291865,24.17,2018-19
San Bernardino High,San Bernardino City Unified,San Bernardino,321.0,94.0,53.0,56.38,24.0,25.53,19.0,29.283489096573206,20.21,2018-19
Bella Vista High,San Juan Unified,Sacramento,458.0,145.0,130.0,89.66,106.0,73.1,102.0,31.65938864628821,70.34,2018-19
Scripps Ranch High,San Diego Unified,San Diego,542.0,255.0,239.0,93.73,216.0,84.71,211.0,47.0479704797048,82.75,2018-19
High Tech High,San Diego Unified,San Diego,126.0,92.0,64.0,69.57,30.0,32.61,28.0,73.01587301587301,30.43,2018-19
Morse High,San Diego Unified,San Diego,374.0,119.0,90.0,75.63,67.0,56.3,61.0,31.818181818181817,51.26,2018-19
Manteca High,Manteca Unified,San Joaquin,372.0,75.0,43.0,57.33,25.0,33.33,25.0,20.161290322580644,33.33,2018-19
Tehachapi High,Tehachapi Unified,Kern,280.0,62.0,51.0,82.26,33.0,53.23,33.0,22.142857142857142,53.23,2018-19
Alisal High,Salinas Union High,Monterey,651.0,232.0,121.0,52.16,77.0,33.19,67.0,35.63748079877112,28.88,2018-19
Perris High,Perris Union High,Riverside,512.0,145.0,71.0,48.97,31.0,21.38,28.0,28.3203125,19.31,2018-19
John W. North High,Riverside Unified,Riverside,501.0,213.0,128.0,60.09,82.0,38.5,74.0,42.51497005988024,34.74,2018-19
Merrill F. West High,Tracy Joint Unified,San Joaquin,481.0,142.0,109.0,76.76,67.0,47.18,65.0,29.521829521829524,45.77,2018-19
Avalon K-12,Long Beach Unified,Los Angeles,43.0,20.0,11.0,55.0,6.0,30.0,5.0,46.51162790697674,25.0,2018-19
James Monroe High,Los Angeles Unified,Los Angeles,510.0,183.0,80.0,43.72,39.0,21.31,33.0,35.88235294117647,18.03,2018-19
San Fernando Senior High,Los Angeles Unified,Los Angeles,458.0,192.0,98.0,51.04,56.0,29.17,48.0,41.92139737991266,25.0,2018-19
Van Nuys Senior High,Los Angeles Unified,Los Angeles,535.0,240.0,204.0,85.0,150.0,62.5,148.0,44.85981308411215,61.67,2018-19
Palisades Charter High,Los Angeles Unified,Los Angeles,714.0,299.0,259.0,86.62,210.0,70.23,205.0,41.87675070028011,68.56,2018-19
Murrieta Valley High,Murrieta Valley Unified,Riverside,572.0,221.0,192.0,86.88,124.0,56.11,119.0,38.63636363636363,53.85,2018-19
Cesar E. Chavez High,Delano Joint Union High,Kern,316.0,128.0,75.0,58.59,56.0,43.75,52.0,40.50632911392405,40.63,2018-19
"Hilda L. Solis Learning Academy School of Technology, Business and Education",Los Angeles Unified,Los Angeles,67.0,41.0,10.0,24.39,6.0,14.63,4.0,61.19402985074627,9.76,2018-19
John Henry High,West Contra Costa Unified,Contra Costa,78.0,44.0,22.0,50.0,13.0,29.55,11.0,56.41025641025641,25.0,2018-19
Greenwood Academy,West Contra Costa Unified,Contra Costa,241.0,74.0,2.0,2.7,1.0,1.35,1.0,30.70539419087137,1.35,2018-19
Arcadia High,Arcadia Unified,Los Angeles,829.0,369.0,343.0,92.95,326.0,88.35,312.0,44.51145958986731,84.55,2018-19
Rocklin High,Rocklin Unified,Placer,499.0,193.0,173.0,89.64,157.0,81.35,152.0,38.677354709418836,78.76,2018-19
Leadership High,San Francisco Unified,San Francisco,75.0,42.0,12.0,28.57,3.0,7.14,2.0,56.00000000000001,4.76,2018-19
Hillsdale High,San Mateo Union High,San Mateo,356.0,151.0,125.0,82.78,114.0,75.5,109.0,42.41573033707865,72.19,2018-19
Las Lomas High,Acalanes Union High,Contra Costa,367.0,149.0,135.0,90.6,114.0,76.51,114.0,40.59945504087194,76.51,2018-19
Arnold O. Beckman High,Tustin Unified,Orange,760.0,258.0,239.0,92.64,212.0,82.17,207.0,33.94736842105263,80.23,2018-19
Los Altos High,Mountain View-Los Altos Union High,Santa Clara,525.0,185.0,164.0,88.65,139.0,75.14,137.0,35.23809523809524,74.05,2018-19
Concord High,Mt. Diablo Unified,Contra Costa,369.0,115.0,91.0,79.13,68.0,59.13,65.0,31.16531165311653,56.52,2018-19
Temecula Valley High,Temecula Valley Unified,Riverside,642.0,310.0,251.0,80.97,147.0,47.42,142.0,48.28660436137071,45.81,2018-19
Montclair High,Chaffey Joint Union High,San Bernardino,705.0,270.0,160.0,59.26,105.0,38.89,97.0,38.297872340425535,35.93,2018-19
Abraham Lincoln High,San Jose Unified,Santa Clara,463.0,160.0,128.0,80.0,83.0,51.88,80.0,34.557235421166304,50.0,2018-19
Technology High,Cotati-Rohnert Park Unified,Sonoma,76.0,27.0,26.0,96.3,20.0,74.07,19.0,35.526315789473685,70.37,2018-19
Nordhoff High,Ojai Unified,Ventura,157.0,49.0,40.0,81.63,28.0,57.14,28.0,31.210191082802545,57.14,2018-19
Summit Charter Academy,Burton Elementary,Tulare,81.0,33.0,22.0,66.67,9.0,27.27,9.0,40.74074074074074,27.27,2018-19
NAVA College Preparatory Academy,Los Angeles Unified,Los Angeles,153.0,79.0,21.0,26.58,7.0,8.86,6.0,51.633986928104584,7.59,2018-19
Natomas Charter,Natomas Unified,Sacramento,117.0,77.0,69.0,89.61,42.0,54.55,42.0,65.8119658119658,54.55,2018-19
Victor Valley High,Victor Valley Union High,San Bernardino,425.0,89.0,56.0,62.92,26.0,29.21,21.0,20.941176470588236,23.6,2018-19
Andrew P. Hill High,East Side Union High,Santa Clara,450.0,140.0,111.0,79.29,80.0,57.14,78.0,31.11111111111111,55.71,2018-19
Will C. Wood High,Vacaville Unified,Solano,329.0,122.0,89.0,72.95,66.0,54.1,58.0,37.08206686930091,47.54,2018-19
Analy High,West Sonoma County Union High,Sonoma,262.0,93.0,86.0,92.47,64.0,68.82,64.0,35.49618320610687,68.82,2018-19
Mt. Whitney High,Visalia Unified,Tulare,397.0,101.0,68.0,67.33,43.0,42.57,41.0,25.440806045340054,40.59,2018-19
Public Safety Academy,Fairfield-Suisun Unified,Solano,79.0,32.0,23.0,71.88,18.0,56.25,16.0,40.50632911392405,50.0,2018-19
Fresno High,Fresno Unified,Fresno,442.0,91.0,43.0,47.25,9.0,9.89,8.0,20.588235294117645,8.79,2018-19
Desert Hot Springs High,Palm Springs Unified,Riverside,417.0,82.0,48.0,58.54,16.0,19.51,15.0,19.664268585131893,18.29,2018-19
Dr. TJ Owens Gilroy Early College Academy,Gilroy Unified,Santa Clara,64.0,55.0,50.0,90.91,43.0,78.18,41.0,85.9375,74.55,2018-19
Laguna Hills High,Saddleback Valley Unified,Orange,374.0,118.0,107.0,90.68,72.0,61.02,71.0,31.550802139037433,60.17,2018-19
San Luis Obispo High,San Luis Coastal Unified,San Luis Obispo,370.0,136.0,125.0,91.91,110.0,80.88,107.0,36.75675675675676,78.68,2018-19
Petaluma High,Petaluma Joint Union High,Sonoma,319.0,129.0,115.0,89.15,87.0,67.44,85.0,40.43887147335423,65.89,2018-19
Ceres High,Ceres Unified,Stanislaus,381.0,141.0,73.0,51.77,38.0,26.95,34.0,37.00787401574803,24.11,2018-19
Mt. Eden High,Hayward Unified,Alameda,459.0,164.0,117.0,71.34,85.0,51.83,80.0,35.72984749455338,48.78,2018-19
Northridge Academy High,Los Angeles Unified,Los Angeles,235.0,103.0,77.0,74.76,43.0,41.75,40.0,43.829787234042556,38.83,2018-19
Thomas Downey High,Modesto City High,Stanislaus,479.0,142.0,97.0,68.31,52.0,36.62,47.0,29.64509394572025,33.1,2018-19
Elk Grove High,Elk Grove Unified,Sacramento,475.0,139.0,115.0,82.73,90.0,64.75,85.0,29.263157894736842,61.15,2018-19
Academy of Careers and Exploration,Helendale Elementary,San Bernardino,63.0,18.0,15.0,83.33,5.0,27.78,5.0,28.57142857142857,27.78,2018-19
Davis Senior High,Davis Joint Unified,Yolo,569.0,268.0,256.0,95.52,244.0,91.04,238.0,47.10017574692443,88.81,2018-19
Scotts Valley High,Scotts Valley Unified,Santa Cruz,192.0,90.0,84.0,93.33,73.0,81.11,73.0,46.875,81.11,2018-19
Riverbank High,Riverbank Unified,Stanislaus,144.0,40.0,23.0,57.5,13.0,32.5,11.0,27.77777777777778,27.5,2018-19
Pioneer High,Woodland Joint Unified,Yolo,350.0,125.0,91.0,72.8,57.0,45.6,52.0,35.714285714285715,41.6,2018-19
Woodland Senior High,Woodland Joint Unified,Yolo,343.0,98.0,62.0,63.27,40.0,40.82,37.0,28.57142857142857,37.76,2018-19
Oakland School for the Arts,Oakland Unified,Alameda,103.0,48.0,41.0,85.42,30.0,62.5,29.0,46.601941747572816,60.42,2018-19
San Pasqual Valley High,San Pasqual Valley Unified,Imperial,42.0,19.0,6.0,31.58,3.0,15.79,2.0,45.23809523809524,10.53,2018-19
Wonderful College Prep Academy,Kern County Office of Education,Kern,128.0,101.0,37.0,36.63,22.0,21.78,19.0,78.90625,18.81,2018-19
Hawthorne High,Centinela Valley Union High,Los Angeles,498.0,199.0,88.0,44.22,25.0,12.56,23.0,39.959839357429715,11.56,2018-19
Troy High,Fullerton Joint Union High,Orange,624.0,286.0,273.0,95.45,257.0,89.86,254.0,45.83333333333333,88.81,2018-19
Santa Maria High,Santa Maria Joint Union High,Santa Barbara,588.0,142.0,93.0,65.49,74.0,52.11,68.0,24.149659863945576,47.89,2018-19
Alameda Science and Technology Institute,Alameda Unified,Alameda,43.0,32.0,30.0,93.75,29.0,90.63,28.0,74.4186046511628,87.5,2018-19
Centennial High,Kern High,Kern,471.0,127.0,109.0,85.83,83.0,65.35,80.0,26.963906581740975,62.99,2018-19
East Bakersfield High,Kern High,Kern,533.0,133.0,74.0,55.64,36.0,27.07,30.0,24.953095684803,22.56,2018-19
Santa Fe High,Whittier Union High,Los Angeles,521.0,264.0,189.0,71.59,106.0,40.15,99.0,50.67178502879079,37.5,2018-19
Whittier High,Whittier Union High,Los Angeles,432.0,266.0,155.0,58.27,106.0,39.85,93.0,61.57407407407407,34.96,2018-19
William S. Hart High,William S. Hart Union High,Los Angeles,540.0,208.0,179.0,86.06,147.0,70.67,139.0,38.51851851851852,66.83,2018-19
University Preparatory,Victor Valley Union High,San Bernardino,164.0,109.0,96.0,88.07,66.0,60.55,65.0,66.46341463414635,59.63,2018-19
Union Mine High,El Dorado Union High,El Dorado,259.0,63.0,54.0,85.71,45.0,71.43,40.0,24.324324324324326,63.49,2018-19
Ponderosa High,El Dorado Union High,El Dorado,420.0,138.0,125.0,90.58,111.0,80.43,108.0,32.857142857142854,78.26,2018-19
South Tahoe High,Lake Tahoe Unified,El Dorado,239.0,54.0,43.0,79.63,30.0,55.56,28.0,22.594142259414227,51.85,2018-19
Le Grand High,Le Grand Union High,Merced,95.0,46.0,20.0,43.48,11.0,23.91,7.0,48.421052631578945,15.22,2018-19
Ocean View High,Huntington Beach Union High,Orange,324.0,92.0,66.0,71.74,39.0,42.39,37.0,28.39506172839506,40.22,2018-19
Antioch High,Antioch Unified,Contra Costa,456.0,110.0,64.0,58.18,25.0,22.73,22.0,24.12280701754386,20.0,2018-19
Avenal High,Reef-Sunset Unified,Kings,149.0,63.0,21.0,33.33,9.0,14.29,8.0,42.281879194630875,12.7,2018-19
Clear Lake High,Lakeport Unified,Lake,80.0,27.0,24.0,88.89,18.0,66.67,18.0,33.75,66.67,2018-19
Millikan High,Long Beach Unified,Los Angeles,824.0,461.0,337.0,73.1,215.0,46.64,211.0,55.94660194174757,45.77,2018-19
Polytechnic High,Long Beach Unified,Los Angeles,1007.0,607.0,394.0,64.91,265.0,43.66,257.0,60.2780536246276,42.34,2018-19
Wilson High,Long Beach Unified,Los Angeles,818.0,671.0,368.0,54.84,209.0,31.15,198.0,82.02933985330073,29.51,2018-19
San Pedro Senior High,Los Angeles Unified,Los Angeles,480.0,125.0,85.0,68.0,50.0,40.0,49.0,26.041666666666668,39.2,2018-19
Taft Charter High,Los Angeles Unified,Los Angeles,498.0,207.0,154.0,74.4,98.0,47.34,94.0,41.566265060240966,45.41,2018-19
Venice Senior High,Los Angeles Unified,Los Angeles,398.0,197.0,140.0,71.07,97.0,49.24,93.0,49.497487437185924,47.21,2018-19
Redondo Union High,Redondo Beach Unified,Los Angeles,709.0,190.0,175.0,92.11,151.0,79.47,148.0,26.79830747531735,77.89,2018-19
Bear River High,Nevada Joint Union High,Nevada,128.0,40.0,32.0,80.0,27.0,67.5,26.0,31.25,65.0,2018-19
American High,Fremont Unified,Alameda,538.0,203.0,188.0,92.61,180.0,88.67,174.0,37.732342007434944,85.71,2018-19
El Camino High,Oceanside Unified,San Diego,795.0,246.0,188.0,76.42,152.0,61.79,140.0,30.943396226415093,56.91,2018-19
Arroyo High,San Lorenzo Unified,Alameda,473.0,192.0,135.0,70.31,99.0,51.56,91.0,40.59196617336152,47.4,2018-19
Augustus F. Hawkins High C Responsible Indigenous Social Entrepreneurship,Los Angeles Unified,Los Angeles,78.0,28.0,3.0,10.71,1.0,3.57,1.0,35.8974358974359,3.57,2018-19
Linda Esperanza Marquez High B LIBRA Academy,Los Angeles Unified,Los Angeles,141.0,81.0,34.0,41.98,15.0,18.52,13.0,57.446808510638306,16.05,2018-19
Visual and Performing Arts at Legacy High School Complex,Los Angeles Unified,Los Angeles,115.0,60.0,27.0,45.0,5.0,8.33,5.0,52.17391304347826,8.33,2018-19
Branham High,Campbell Union High,Santa Clara,416.0,139.0,129.0,92.81,106.0,76.26,103.0,33.41346153846153,74.1,2018-19
Chatsworth Charter High,Los Angeles Unified,Los Angeles,448.0,181.0,108.0,59.67,72.0,39.78,65.0,40.401785714285715,35.91,2018-19
Sun Valley Magnet,Los Angeles Unified,Los Angeles,71.0,28.0,15.0,53.57,13.0,46.43,9.0,39.436619718309856,32.14,2018-19
John A. Rowland High,Rowland Unified,Los Angeles,513.0,194.0,157.0,80.93,134.0,69.07,123.0,37.8167641325536,63.4,2018-19
El Camino High (Continuation),Norwalk-La Mirada Unified,Los Angeles,161.0,86.0,7.0,8.14,1.0,1.16,1.0,53.41614906832298,1.16,2018-19
