school_name,district_name,county_name,grade_12_enrollment,total_num_test_takers,num_erw_benchmark,pct_erw_benchmark,num_math_benchmark,pct_math_benchmark,num_test_takers_benchmark,perc_participation,pct_test_takers_benchmark,year
Los Banos High,Los Banos Unified,Merced,303.0,95.0,62.0,65.26,36.0,37.89,34.0,31.353135313531354,35.79,2018-19
Options for Youth-San Bernardino,San Bernardino City Unified,San Bernardino,52.0,17.0,11.0,64.71,5.0,29.41,5.0,32.69230769230769,29.41,2018-19
Arroyo Valley High,San Bernardino City Unified,San Bernardino,565.0,202.0,103.0,50.99,51.0,25.25,46.0,35.75221238938053,22.77,2018-19
Middle College High,San Bernardino City Unified,San Bernardino,67.0,50.0,38.0,76.0,26.0,52.0,23.0,74.6268656716418,46.0,2018-19
Bear Creek High,Lodi Unified,San Joaquin,450.0,173.0,125.0,72.25,109.0,63.01,100.0,38.44444444444444,57.8,2018-19
Cesar E. Chavez Learning Academies-Arts/Theatre/Entertain Mag,Los Angeles Unified,Los Angeles,87.0,29.0,17.0,58.62,6.0,20.69,5.0,33.33333333333333,17.24,2018-19
Torrance High,Torrance Unified,Los Angeles,509.0,218.0,182.0,83.49,132.0,60.55,127.0,42.82907662082515,58.26,2018-19
El Capitan High,Merced Union High,Merced,373.0,142.0,91.0,64.08,46.0,32.39,44.0,38.069705093833775,30.99,2018-19
Merced High,Merced Union High,Merced,400.0,110.0,78.0,70.91,47.0,42.73,43.0,27.500000000000004,39.09,2018-19
El Camino Fundamental High,San Juan Unified,Sacramento,321.0,119.0,102.0,85.71,75.0,63.03,74.0,37.07165109034268,62.18,2018-19
Point Loma High,San Diego Unified,San Diego,456.0,191.0,168.0,87.96,134.0,70.16,132.0,41.885964912280706,69.11,2018-19
Alliance Gertz-Ressler Richard Merkin 6-12 Complex,Los Angeles Unified,Los Angeles,123.0,123.0,58.0,47.15,30.0,24.39,26.0,100.0,21.14,2018-19
Port of Los Angeles High,Los Angeles Unified,Los Angeles,202.0,80.0,62.0,77.5,53.0,66.25,48.0,39.603960396039604,60.0,2018-19
Chowchilla Union High,Chowchilla Union High,Madera,262.0,86.0,48.0,55.81,20.0,23.26,18.0,32.82442748091603,20.93,2018-19
Colfax High,Placer Union High,Placer,125.0,51.0,41.0,80.39,30.0,58.82,28.0,40.8,54.9,2018-19
Herbert Hoover High,Glendale Unified,Los Angeles,351.0,100.0,85.0,85.0,72.0,72.0,69.0,28.49002849002849,69.0,2018-19
Compton High,Compton Unified,Los Angeles,354.0,65.0,25.0,38.46,9.0,13.85,9.0,18.361581920903955,13.85,2018-19
Saddleback High,Santa Ana Unified,Orange,383.0,321.0,106.0,33.02,80.0,24.92,64.0,83.81201044386422,19.94,2018-19
Hesperia High,Hesperia Unified,San Bernardino,445.0,108.0,58.0,53.7,21.0,19.44,16.0,24.269662921348313,14.81,2018-19
La Costa Canyon High,San Dieguito Union High,San Diego,523.0,183.0,173.0,94.54,145.0,79.23,145.0,34.990439770554495,79.23,2018-19
Etna Union High,Scott Valley Unified,Siskiyou,43.0,16.0,9.0,56.25,7.0,43.75,6.0,37.2093023255814,37.5,2018-19
Alameda Community Learning Center,Alameda Unified,Alameda,31.0,21.0,20.0,95.24,11.0,52.38,10.0,67.74193548387096,47.62,2018-19
Stockdale High,Kern High,Kern,550.0,242.0,201.0,83.06,151.0,62.4,143.0,44.0,59.09,2018-19
La Serna High,Whittier Union High,Los Angeles,609.0,296.0,249.0,84.12,187.0,63.18,179.0,48.60426929392447,60.47,2018-19
Santa Clarita Valley International,William S. Hart Union High,Los Angeles,75.0,15.0,9.0,60.0,3.0,20.0,3.0,20.0,20.0,2018-19
Silverado High,Victor Valley Union High,San Bernardino,546.0,114.0,63.0,55.26,22.0,19.3,22.0,20.87912087912088,19.3,2018-19
Stagg Senior High,Stockton Unified,San Joaquin,368.0,73.0,38.0,52.05,17.0,23.29,15.0,19.83695652173913,20.55,2018-19
Summit Public School: Rainier,East Side Union High,Santa Clara,105.0,49.0,43.0,87.76,23.0,46.94,22.0,46.666666666666664,44.9,2018-19
Mountain House High,Lammersville Joint Unified,San Joaquin,283.0,132.0,114.0,86.36,82.0,62.12,80.0,46.64310954063604,60.61,2018-19
Farmersville High,Farmersville Unified,Tulare,170.0,60.0,21.0,35.0,6.0,10.0,6.0,35.294117647058826,10.0,2018-19
Aspire Langston Hughes Academy,Stockton Unified,San Joaquin,83.0,68.0,36.0,52.94,16.0,23.53,16.0,81.92771084337349,23.53,2018-19
Fairfield High,Fairfield-Suisun Unified,Solano,304.0,60.0,35.0,58.33,15.0,25.0,14.0,19.736842105263158,23.33,2018-19
Tulare Union High,Tulare Joint Union High,Tulare,382.0,130.0,77.0,59.23,67.0,51.54,58.0,34.031413612565444,44.62,2018-19
Chula Vista Senior High,Sweetwater Union High,San Diego,672.0,209.0,141.0,67.46,65.0,31.1,64.0,31.101190476190478,30.62,2018-19
Los Gatos High,Los Gatos-Saratoga Joint Union High,Santa Clara,544.0,204.0,198.0,97.06,183.0,89.71,182.0,37.5,89.22,2018-19
Albany High,Albany City Unified,Alameda,296.0,114.0,107.0,93.86,97.0,85.09,96.0,38.513513513513516,84.21,2018-19
Hueneme High,Oxnard Union High,Ventura,491.0,402.0,117.0,29.1,73.0,18.16,63.0,81.87372708757637,15.67,2018-19
Modesto High,Modesto City High,Stanislaus,585.0,235.0,151.0,64.26,107.0,45.53,99.0,40.17094017094017,42.13,2018-19
Santa Cruz High,Santa Cruz City High,Santa Cruz,268.0,112.0,97.0,86.61,88.0,78.57,84.0,41.7910447761194,75.0,2018-19
Sonora High,Fullerton Joint Union High,Orange,410.0,163.0,140.0,85.89,106.0,65.03,103.0,39.75609756097561,63.19,2018-19
Garden Grove High,Garden Grove Unified,Orange,569.0,215.0,175.0,81.4,131.0,60.93,127.0,37.78558875219684,59.07,2018-19
Hiram W. Johnson High,Sacramento City Unified,Sacramento,364.0,55.0,26.0,47.27,16.0,29.09,14.0,15.10989010989011,25.45,2018-19
Poway High,Poway Unified,San Diego,533.0,186.0,167.0,89.78,153.0,82.26,148.0,34.8968105065666,79.57,2018-19
John H. Pitman High,Turlock Unified,Stanislaus,511.0,221.0,170.0,76.92,100.0,45.25,97.0,43.24853228962818,43.89,2018-19
Taft Union High,Taft Union High,Kern,204.0,46.0,33.0,71.74,15.0,32.61,15.0,22.54901960784314,32.61,2018-19
Options for Youth San Gabriel,San Gabriel Unified,Los Angeles,153.0,38.0,25.0,65.79,10.0,26.32,9.0,24.836601307189543,23.68,2018-19
Mission San Jose High,Fremont Unified,Alameda,490.0,149.0,147.0,98.66,142.0,95.3,142.0,30.408163265306122,95.3,2018-19
Liberty High,Liberty Union High,Contra Costa,610.0,203.0,163.0,80.3,115.0,56.65,109.0,33.278688524590166,53.69,2018-19
Mendota High,Mendota Unified,Fresno,223.0,69.0,23.0,33.33,11.0,15.94,9.0,30.94170403587444,13.04,2018-19
Los Alamitos High,Los Alamitos Unified,Orange,758.0,319.0,292.0,91.54,234.0,73.35,227.0,42.0844327176781,71.16,2018-19
Temescal Canyon High,Lake Elsinore Unified,Riverside,496.0,238.0,161.0,67.65,110.0,46.22,102.0,47.983870967741936,42.86,2018-19
Don Antonio Lugo High,Chino Valley Unified,San Bernardino,432.0,282.0,149.0,52.84,81.0,28.72,66.0,65.27777777777779,23.4,2018-19
Pittsburg Senior High,Pittsburg Unified,Contra Costa,716.0,277.0,164.0,59.21,96.0,34.66,89.0,38.687150837988824,32.13,2018-19
Anaheim High,Anaheim Union High,Orange,722.0,137.0,89.0,64.96,55.0,40.15,48.0,18.97506925207756,35.04,2018-19
Rancho Verde High,Val Verde Unified,Riverside,505.0,471.0,223.0,47.35,101.0,21.44,94.0,93.26732673267327,19.96,2018-19
Jurupa Hills High,Fontana Unified,San Bernardino,466.0,138.0,81.0,58.7,45.0,32.61,41.0,29.613733905579398,29.71,2018-19
LPS Oakland R & D Campus,Oakland Unified,Alameda,111.0,42.0,16.0,38.1,7.0,16.67,7.0,37.83783783783784,16.67,2018-19
