school_name,district_name,county_name,grade_12_enrollment,total_num_test_takers,avg_reading,avg_english,avg_math,avg_science,num_test_takers_21,perc_participation,pct_test_takers_21,year
N/A,Rialto Unified,San Bernardino,1973.0,190.0,19.0,18.0,19.0,19.0,59.0,9.63000506842372,31.05,2018-19
N/A,Rim of the World Unified,San Bernardino,239.0,26.0,25.0,24.0,22.0,24.0,19.0,10.87866108786611,73.08,2018-19
N/A,San Bernardino City Unified,San Bernardino,3558.0,480.0,19.0,17.0,18.0,19.0,124.0,13.490725126475548,25.83,2018-19
N/A,Victor Valley Union High,San Bernardino,1911.0,200.0,20.0,18.0,19.0,19.0,65.0,10.465724751439037,32.5,2018-19
N/A,Yucaipa-Calimesa Joint Unified,San Bernardino,739.0,61.0,24.0,22.0,22.0,22.0,40.0,8.254397834912043,65.57,2018-19
N/A,Snowline Joint Unified,San Bernardino,560.0,57.0,22.0,21.0,23.0,22.0,34.0,10.178571428571429,59.65,2018-19
N/A,Hesperia Unified,San Bernardino,1986.0,255.0,20.0,18.0,19.0,19.0,91.0,12.83987915407855,35.69,2018-19
N/A,Upland Unified,San Bernardino,867.0,62.0,21.0,21.0,21.0,21.0,30.0,7.151095732410612,48.39,2018-19
N/A,Apple Valley Unified,San Bernardino,1086.0,82.0,23.0,22.0,20.0,21.0,42.0,7.550644567219153,51.22,2018-19
N/A,San Diego County Office of Education,San Diego,631.0,22.0,22.0,21.0,23.0,21.0,14.0,3.4865293185419968,63.64,2018-19
N/A,Chula Vista Elementary,San Diego,228.0,21.0,20.0,20.0,18.0,19.0,6.0,9.210526315789473,28.57,2018-19
N/A,Coronado Unified,San Diego,294.0,128.0,26.0,25.0,25.0,25.0,100.0,43.53741496598639,78.13,2018-19
N/A,Dehesa Elementary,San Diego,469.0,18.0,21.0,21.0,20.0,20.0,6.0,3.8379530916844353,33.33,2018-19
N/A,Escondido Union High,San Diego,2532.0,497.0,21.0,20.0,21.0,21.0,229.0,19.62875197472354,46.08,2018-19
N/A,Fallbrook Union High,San Diego,557.0,42.0,23.0,22.0,22.0,21.0,26.0,7.5403949730700175,61.9,2018-19
N/A,Grossmont Union High,San Diego,5541.0,940.0,22.0,21.0,22.0,22.0,566.0,16.964446850748963,60.21,2018-19
N/A,Lakeside Union Elementary,San Diego,71.0,16.0,28.0,26.0,26.0,27.0,16.0,22.535211267605636,100.0,2018-19
N/A,Mountain Empire Unified,San Diego,342.0,20.0,25.0,21.0,21.0,23.0,12.0,5.847953216374268,60.0,2018-19
N/A,Poway Unified,San Diego,2918.0,941.0,27.0,26.0,26.0,25.0,775.0,32.248115147361204,82.36,2018-19
N/A,Ramona City Unified,San Diego,476.0,81.0,23.0,22.0,23.0,23.0,54.0,17.016806722689076,66.67,2018-19
N/A,San Diego Unified,San Diego,9418.0,1944.0,23.0,22.0,22.0,22.0,1089.0,20.641325122106604,56.02,2018-19
N/A,San Dieguito Union High,San Diego,2334.0,1234.0,28.0,28.0,27.0,27.0,1108.0,52.870608397600684,89.79,2018-19
N/A,Sweetwater Union High,San Diego,7934.0,952.0,21.0,20.0,20.0,21.0,441.0,11.998991681371313,46.32,2018-19
N/A,Vista Unified,San Diego,2363.0,231.0,25.0,23.0,24.0,23.0,164.0,9.775708844688955,71.0,2018-19
N/A,Carlsbad Unified,San Diego,913.0,258.0,25.0,25.0,25.0,25.0,203.0,28.258488499452355,78.68,2018-19
N/A,Oceanside Unified,San Diego,1628.0,207.0,21.0,20.0,21.0,20.0,100.0,12.714987714987716,48.31,2018-19
N/A,San Marcos Unified,San Diego,1534.0,422.0,24.0,23.0,22.0,23.0,265.0,27.509778357235987,62.8,2018-19
N/A,Valley Center-Pauma Unified,San Diego,314.0,50.0,22.0,21.0,21.0,22.0,25.0,15.92356687898089,50.0,2018-19
N/A,SBC - High Tech High,San Diego,242.0,40.0,23.0,21.0,19.0,21.0,19.0,16.528925619834713,47.5,2018-19
N/A,San Francisco Unified,San Francisco,4399.0,1077.0,22.0,21.0,22.0,21.0,565.0,24.482837008411,52.46,2018-19
N/A,San Joaquin County Office of Education,San Joaquin,823.0,22.0,18.0,17.0,17.0,18.0,4.0,2.67314702308627,18.18,2018-19
N/A,Escalon Unified,San Joaquin,201.0,16.0,21.0,19.0,21.0,22.0,10.0,7.960199004975125,62.5,2018-19
N/A,Lincoln Unified,San Joaquin,721.0,59.0,23.0,22.0,23.0,23.0,43.0,8.183079056865465,72.88,2018-19
N/A,Linden Unified,San Joaquin,177.0,33.0,22.0,21.0,20.0,21.0,13.0,18.64406779661017,39.39,2018-19
N/A,Lodi Unified,San Joaquin,2471.0,474.0,22.0,21.0,22.0,22.0,261.0,19.18251719951437,55.06,2018-19
N/A,Manteca Unified,San Joaquin,1925.0,124.0,22.0,22.0,22.0,21.0,73.0,6.441558441558441,58.87,2018-19
N/A,Ripon Unified,San Joaquin,405.0,46.0,26.0,24.0,23.0,24.0,37.0,11.358024691358025,80.43,2018-19
N/A,Stockton Unified,San Joaquin,2734.0,354.0,19.0,18.0,19.0,18.0,116.0,12.948061448427211,32.77,2018-19
N/A,Tracy Joint Unified,San Joaquin,1515.0,160.0,22.0,21.0,21.0,22.0,84.0,10.561056105610561,52.5,2018-19
N/A,Lammersville Joint Unified,San Joaquin,283.0,52.0,28.0,27.0,26.0,26.0,46.0,18.374558303886925,88.46,2018-19
N/A,Atascadero Unified,San Luis Obispo,355.0,35.0,26.0,25.0,25.0,25.0,27.0,9.859154929577464,77.14,2018-19
N/A,Lucia Mar Unified,San Luis Obispo,865.0,194.0,23.0,22.0,22.0,22.0,120.0,22.427745664739884,61.86,2018-19
N/A,San Luis Coastal Unified,San Luis Obispo,591.0,174.0,26.0,25.0,25.0,24.0,140.0,29.441624365482234,80.46,2018-19
N/A,Templeton Unified,San Luis Obispo,203.0,69.0,24.0,24.0,22.0,23.0,50.0,33.99014778325123,72.46,2018-19
N/A,Paso Robles Joint Unified,San Luis Obispo,578.0,89.0,23.0,22.0,22.0,22.0,53.0,15.397923875432525,59.55,2018-19
N/A,Cabrillo Unified,San Mateo,251.0,65.0,27.0,26.0,25.0,25.0,50.0,25.89641434262948,76.92,2018-19
N/A,Jefferson Union High,San Mateo,1179.0,132.0,24.0,23.0,23.0,23.0,98.0,11.195928753180661,74.24,2018-19
N/A,Ravenswood City Elementary,San Mateo,20.0,31.0,16.0,14.0,18.0,15.0,3.0,155.0,9.68,2018-19
N/A,San Mateo Union High,San Mateo,2359.0,529.0,27.0,26.0,26.0,26.0,432.0,22.424756252649427,81.66,2018-19
N/A,Sequoia Union High,San Mateo,2532.0,630.0,25.0,24.0,24.0,24.0,431.0,24.881516587677723,68.41,2018-19
N/A,South San Francisco Unified,San Mateo,682.0,41.0,23.0,23.0,24.0,23.0,31.0,6.011730205278592,75.61,2018-19
N/A,Carpinteria Unified,Santa Barbara,167.0,39.0,22.0,19.0,22.0,22.0,21.0,23.353293413173652,53.85,2018-19
N/A,Lompoc Unified,Santa Barbara,648.0,41.0,24.0,23.0,23.0,23.0,25.0,6.327160493827161,60.98,2018-19
N/A,Orcutt Union Elementary,Santa Barbara,145.0,49.0,25.0,26.0,25.0,25.0,40.0,33.793103448275865,81.63,2018-19
N/A,Santa Maria Joint Union High,Santa Barbara,1949.0,243.0,20.0,19.0,20.0,20.0,93.0,12.467932272960493,38.27,2018-19
N/A,Santa Ynez Valley Union High,Santa Barbara,231.0,50.0,26.0,24.0,22.0,22.0,38.0,21.645021645021643,76.0,2018-19
N/A,Santa Barbara Unified,Santa Barbara,1669.0,395.0,25.0,25.0,24.0,24.0,283.0,23.666866387058118,71.65,2018-19
N/A,Santa Clara County Office of Education,Santa Clara,915.0,102.0,22.0,22.0,21.0,22.0,49.0,11.147540983606557,48.04,2018-19
N/A,Campbell Union High,Santa Clara,2023.0,403.0,27.0,26.0,25.0,26.0,324.0,19.9209095402867,80.4,2018-19
N/A,East Side Union High,Santa Clara,6785.0,777.0,22.0,22.0,23.0,22.0,423.0,11.451731761238024,54.44,2018-19
N/A,Fremont Union High,Santa Clara,2761.0,872.0,30.0,31.0,31.0,29.0,822.0,31.58275986961246,94.27,2018-19
N/A,Gilroy Unified,Santa Clara,972.0,147.0,23.0,22.0,23.0,22.0,92.0,15.123456790123457,62.59,2018-19
N/A,Los Gatos-Saratoga Joint Union High,Santa Clara,870.0,308.0,30.0,30.0,29.0,29.0,296.0,35.40229885057472,96.1,2018-19
N/A,Morgan Hill Unified,Santa Clara,636.0,115.0,24.0,24.0,24.0,23.0,89.0,18.081761006289305,77.39,2018-19
N/A,Mountain View-Los Altos Union High,Santa Clara,1061.0,342.0,28.0,29.0,28.0,28.0,297.0,32.23374175306315,86.84,2018-19
N/A,Palo Alto Unified,Santa Clara,1020.0,454.0,29.0,29.0,28.0,28.0,393.0,44.509803921568626,86.56,2018-19
N/A,San Jose Unified,Santa Clara,2648.0,443.0,25.0,25.0,25.0,25.0,316.0,16.729607250755286,71.33,2018-19
N/A,Santa Clara Unified,Santa Clara,1136.0,193.0,25.0,25.0,24.0,24.0,135.0,16.989436619718308,69.95,2018-19
N/A,Milpitas Unified,Santa Clara,829.0,72.0,26.0,27.0,27.0,26.0,64.0,8.685162846803378,88.89,2018-19
N/A,Santa Cruz County Office of Education,Santa Cruz,594.0,48.0,29.0,29.0,27.0,27.0,46.0,8.080808080808081,95.83,2018-19
N/A,Pajaro Valley Unified,Santa Cruz,1315.0,257.0,20.0,18.0,19.0,20.0,88.0,19.543726235741445,34.24,2018-19
N/A,San Lorenzo Valley Unified,Santa Cruz,244.0,25.0,26.0,26.0,24.0,25.0,19.0,10.245901639344263,76.0,2018-19
N/A,Santa Cruz City High,Santa Cruz,862.0,177.0,24.0,23.0,23.0,22.0,112.0,20.533642691415313,63.28,2018-19
N/A,Scotts Valley Unified,Santa Cruz,194.0,60.0,27.0,26.0,25.0,25.0,52.0,30.927835051546392,86.67,2018-19
N/A,Anderson Union High,Shasta,444.0,29.0,24.0,21.0,22.0,23.0,21.0,6.531531531531531,72.41,2018-19
N/A,Fall River Joint Unified,Shasta,86.0,21.0,22.0,20.0,22.0,22.0,9.0,24.418604651162788,42.86,2018-19
N/A,Shasta Union High,Shasta,1308.0,115.0,27.0,25.0,25.0,25.0,96.0,8.792048929663608,83.48,2018-19
N/A,Siskiyou Union High,Siskiyou,150.0,29.0,21.0,21.0,19.0,19.0,14.0,19.333333333333332,48.28,2018-19
N/A,Yreka Union High,Siskiyou,150.0,38.0,23.0,20.0,21.0,21.0,20.0,25.333333333333336,52.63,2018-19
N/A,Scott Valley Unified,Siskiyou,45.0,27.0,20.0,20.0,21.0,21.0,11.0,60.0,40.74,2018-19
N/A,Benicia Unified,Solano,406.0,67.0,27.0,26.0,25.0,25.0,56.0,16.502463054187192,83.58,2018-19
N/A,Dixon Unified,Solano,310.0,67.0,21.0,20.0,21.0,20.0,34.0,21.612903225806452,50.75,2018-19
N/A,Fairfield-Suisun Unified,Solano,1560.0,94.0,24.0,23.0,22.0,23.0,59.0,6.0256410256410255,62.77,2018-19
N/A,Travis Unified,Solano,419.0,40.0,25.0,23.0,23.0,24.0,28.0,9.54653937947494,70.0,2018-19
N/A,Vacaville Unified,Solano,975.0,97.0,23.0,22.0,23.0,22.0,62.0,9.948717948717949,63.92,2018-19
N/A,Vallejo City Unified,Solano,994.0,71.0,20.0,18.0,18.0,19.0,22.0,7.142857142857142,30.99,2018-19
N/A,West Sonoma County Union High,Sonoma,450.0,55.0,26.0,25.0,24.0,24.0,40.0,12.222222222222221,72.73,2018-19
N/A,Petaluma Joint Union High,Sonoma,889.0,134.0,25.0,24.0,23.0,23.0,101.0,15.073115860517436,75.37,2018-19
N/A,Roseland,Sonoma,147.0,89.0,17.0,16.0,18.0,18.0,20.0,60.544217687074834,22.47,2018-19
N/A,Santa Rosa High,Sonoma,1968.0,275.0,25.0,24.0,24.0,24.0,208.0,13.973577235772359,75.64,2018-19
N/A,Sonoma Valley Unified,Sonoma,293.0,47.0,25.0,24.0,23.0,23.0,31.0,16.040955631399317,65.96,2018-19
N/A,Cotati-Rohnert Park Unified,Sonoma,529.0,73.0,24.0,23.0,22.0,22.0,44.0,13.799621928166353,60.27,2018-19
N/A,Windsor Unified,Sonoma,466.0,116.0,23.0,22.0,21.0,22.0,70.0,24.892703862660944,60.34,2018-19
N/A,Healdsburg Unified,Sonoma,158.0,36.0,24.0,25.0,22.0,22.0,29.0,22.78481012658228,80.56,2018-19
N/A,Ceres Unified,Stanislaus,1073.0,34.0,20.0,18.0,18.0,19.0,8.0,3.1686859273066172,23.53,2018-19
N/A,Modesto City High,Stanislaus,3858.0,511.0,22.0,21.0,21.0,21.0,262.0,13.245204769310522,51.27,2018-19
N/A,Patterson Joint Unified,Stanislaus,458.0,15.0,24.0,22.0,21.0,21.0,7.0,3.2751091703056767,46.67,2018-19
N/A,Newman-Crows Landing Unified,Stanislaus,227.0,18.0,23.0,22.0,23.0,22.0,10.0,7.929515418502203,55.56,2018-19
N/A,Oakdale Joint Unified,Stanislaus,437.0,38.0,24.0,24.0,23.0,23.0,26.0,8.695652173913043,68.42,2018-19
N/A,Turlock Unified,Stanislaus,1240.0,105.0,24.0,22.0,22.0,22.0,68.0,8.46774193548387,64.76,2018-19
N/A,Live Oak Unified,Sutter,143.0,33.0,19.0,20.0,20.0,20.0,12.0,23.076923076923077,36.36,2018-19
N/A,Sutter Union High,Sutter,189.0,22.0,25.0,22.0,24.0,23.0,17.0,11.64021164021164,77.27,2018-19
N/A,Yuba City Unified,Sutter,972.0,116.0,23.0,22.0,22.0,23.0,71.0,11.934156378600823,61.21,2018-19
N/A,Corning Union High,Tehama,228.0,113.0,18.0,18.0,18.0,17.0,33.0,49.56140350877193,29.2,2018-19
N/A,Los Molinos Unified,Tehama,37.0,38.0,17.0,15.0,17.0,17.0,9.0,102.7027027027027,23.68,2018-19
N/A,Red Bluff Joint Union High,Tehama,372.0,151.0,20.0,19.0,20.0,20.0,63.0,40.59139784946236,41.72,2018-19
N/A,Trinity Alps Unified,Trinity,93.0,15.0,24.0,24.0,23.0,23.0,11.0,16.129032258064516,73.33,2018-19
N/A,Cutler-Orosi Joint Unified,Tulare,292.0,85.0,17.0,15.0,17.0,17.0,10.0,29.10958904109589,11.76,2018-19
N/A,Tulare Joint Union High,Tulare,1284.0,177.0,20.0,19.0,20.0,19.0,63.0,13.785046728971961,35.59,2018-19
N/A,Visalia Unified,Tulare,2216.0,187.0,22.0,21.0,21.0,22.0,103.0,8.438628158844766,55.08,2018-19
N/A,Farmersville Unified,Tulare,216.0,46.0,18.0,16.0,17.0,17.0,8.0,21.296296296296298,17.39,2018-19
N/A,Porterville Unified,Tulare,1665.0,283.0,19.0,18.0,19.0,19.0,88.0,16.996996996996998,31.1,2018-19
N/A,Dinuba Unified,Tulare,538.0,96.0,18.0,16.0,17.0,19.0,18.0,17.843866171003718,18.75,2018-19
N/A,Woodlake Unified,Tulare,168.0,30.0,18.0,18.0,19.0,18.0,8.0,17.857142857142858,26.67,2018-19
N/A,Exeter Unified,Tulare,225.0,18.0,25.0,23.0,20.0,23.0,13.0,8.0,72.22,2018-19
N/A,Fillmore Unified,Ventura,298.0,29.0,24.0,23.0,23.0,23.0,19.0,9.731543624161073,65.52,2018-19
N/A,Ojai Unified,Ventura,192.0,15.0,26.0,26.0,24.0,24.0,13.0,7.8125,86.67,2018-19
N/A,Oxnard Union High,Ventura,4063.0,317.0,22.0,21.0,21.0,21.0,161.0,7.802116662564608,50.79,2018-19
N/A,Simi Valley Unified,Ventura,1416.0,159.0,25.0,25.0,24.0,24.0,122.0,11.228813559322035,76.73,2018-19
N/A,Ventura Unified,Ventura,1301.0,213.0,24.0,22.0,22.0,22.0,132.0,16.372021521906227,61.97,2018-19
N/A,Conejo Valley Unified,Ventura,1767.0,421.0,27.0,27.0,26.0,26.0,358.0,23.82569326542162,85.04,2018-19
N/A,Oak Park Unified,Ventura,438.0,157.0,29.0,29.0,27.0,27.0,147.0,35.84474885844749,93.63,2018-19
N/A,Moorpark Unified,Ventura,505.0,112.0,25.0,24.0,24.0,24.0,88.0,22.17821782178218,78.57,2018-19
N/A,Santa Paula Unified,Ventura,429.0,126.0,20.0,18.0,19.0,20.0,44.0,29.37062937062937,34.92,2018-19
N/A,Davis Joint Unified,Yolo,717.0,156.0,28.0,27.0,28.0,27.0,145.0,21.75732217573222,92.95,2018-19
N/A,Washington Unified,Yolo,563.0,54.0,21.0,19.0,20.0,20.0,23.0,9.591474245115453,42.59,2018-19
N/A,Woodland Joint Unified,Yolo,767.0,139.0,20.0,19.0,19.0,20.0,53.0,18.122555410691003,38.13,2018-19
N/A,Marysville Joint Unified,Yuba,602.0,42.0,20.0,18.0,19.0,19.0,17.0,6.976744186046512,40.48,2018-19
N/A,Wheatland Union High,Yuba,167.0,18.0,23.0,21.0,21.0,22.0,10.0,10.778443113772456,55.56,2018-19
Napa High,Napa Valley Unified,Napa,432.0,59.0,22.0,22.0,22.0,22.0,36.0,13.657407407407407,61.02,2018-19
Nathaniel Narbonne Senior High,Los Angeles Unified,Los Angeles,543.0,50.0,21.0,19.0,20.0,21.0,23.0,9.208103130755065,46.0,2018-19
Natomas Charter,Natomas Unified,Sacramento,117.0,18.0,23.0,24.0,22.0,22.0,12.0,15.384615384615385,66.67,2018-19
Natomas High,Natomas Unified,Sacramento,243.0,199.0,15.0,13.0,16.0,15.0,18.0,81.89300411522635,9.05,2018-19
Natomas Pacific Pathways Prep,Natomas Unified,Sacramento,155.0,17.0,25.0,23.0,23.0,22.0,13.0,10.967741935483872,76.47,2018-19
Nevada Union High,Nevada Joint Union High,Nevada,353.0,34.0,27.0,25.0,25.0,24.0,27.0,9.631728045325778,79.41,2018-19
New Designs Charter,Los Angeles Unified,Los Angeles,86.0,68.0,17.0,16.0,18.0,17.0,7.0,79.06976744186046,10.29,2018-19
New Designs Charter School-Watts,Los Angeles Unified,Los Angeles,47.0,25.0,14.0,11.0,15.0,15.0,0.0,53.191489361702125,0.0,2018-19
New West Charter,SBE - New West Charter,Los Angeles,90.0,19.0,27.0,28.0,24.0,25.0,16.0,21.11111111111111,84.21,2018-19
Newark Memorial High,Newark Unified,Alameda,397.0,31.0,22.0,22.0,22.0,22.0,22.0,7.8085642317380355,70.97,2018-19
Newbury Park High,Conejo Valley Unified,Ventura,596.0,154.0,27.0,26.0,26.0,25.0,127.0,25.838926174496645,82.47,2018-19
Newport Harbor High,Newport-Mesa Unified,Orange,548.0,237.0,25.0,25.0,24.0,24.0,169.0,43.24817518248175,71.31,2018-19
Nipomo High,Lucia Mar Unified,San Luis Obispo,226.0,23.0,22.0,21.0,21.0,23.0,14.0,10.176991150442479,60.87,2018-19
Nogales High,Rowland Unified,Los Angeles,433.0,68.0,19.0,17.0,18.0,19.0,16.0,15.704387990762125,23.53,2018-19
Norco High,Corona-Norco Unified,Riverside,472.0,58.0,23.0,21.0,22.0,22.0,37.0,12.288135593220339,63.79,2018-19
Nordhoff High,Ojai Unified,Ventura,157.0,15.0,26.0,26.0,24.0,24.0,13.0,9.554140127388536,86.67,2018-19
Norte Vista High,Alvord Unified,Riverside,483.0,63.0,20.0,18.0,19.0,18.0,18.0,13.043478260869565,28.57,2018-19
North High,Kern High,Kern,404.0,16.0,22.0,20.0,20.0,21.0,8.0,3.9603960396039604,50.0,2018-19
North High,Torrance Unified,Los Angeles,448.0,73.0,24.0,23.0,24.0,23.0,50.0,16.294642857142858,68.49,2018-19
North Hollywood Senior High,Los Angeles Unified,Los Angeles,573.0,52.0,27.0,27.0,26.0,25.0,38.0,9.07504363001745,73.08,2018-19
North Monterey County High,North Monterey County Unified,Monterey,297.0,42.0,19.0,17.0,18.0,20.0,10.0,14.14141414141414,23.81,2018-19
North Salinas High,Salinas Union High,Monterey,498.0,50.0,20.0,19.0,19.0,19.0,16.0,10.040160642570282,32.0,2018-19
North Tahoe High,Tahoe-Truckee Unified,Placer,103.0,32.0,26.0,24.0,25.0,25.0,26.0,31.06796116504854,81.25,2018-19
Northgate High,Mt. Diablo Unified,Contra Costa,364.0,180.0,27.0,27.0,26.0,26.0,148.0,49.45054945054945,82.22,2018-19
Northview High,Covina-Valley Unified,Los Angeles,325.0,46.0,20.0,18.0,20.0,19.0,15.0,14.153846153846153,32.61,2018-19
Northwood High,Irvine Unified,Orange,623.0,234.0,29.0,30.0,29.0,29.0,218.0,37.56019261637239,93.16,2018-19
Norwalk High,Norwalk-La Mirada Unified,Los Angeles,453.0,86.0,19.0,17.0,17.0,18.0,19.0,18.984547461368653,22.09,2018-19
NOVA Academy - Coachella,Coachella Valley Unified,Riverside,38.0,15.0,20.0,18.0,19.0,19.0,5.0,39.473684210526315,33.33,2018-19
Nova Academy Early College High,Santa Ana Unified,Orange,98.0,42.0,19.0,17.0,18.0,19.0,11.0,42.857142857142854,26.19,2018-19
Novato High,Novato Unified,Marin,326.0,88.0,23.0,23.0,23.0,22.0,54.0,26.993865030674847,61.36,2018-19
Nuview Bridge Early College High,Nuview Union,Riverside,157.0,169.0,19.0,17.0,20.0,19.0,58.0,107.64331210191082,34.32,2018-19
Oak Grove High,East Side Union High,Santa Clara,399.0,37.0,23.0,22.0,23.0,22.0,21.0,9.273182957393484,56.76,2018-19
Oak Hills High,Hesperia Unified,San Bernardino,570.0,154.0,20.0,18.0,20.0,19.0,58.0,27.017543859649123,37.66,2018-19
Oak Park High,Oak Park Unified,Ventura,377.0,152.0,29.0,29.0,27.0,27.0,143.0,40.318302387267906,94.08,2018-19
Oak Ridge High,El Dorado Union High,El Dorado,592.0,201.0,26.0,26.0,27.0,26.0,181.0,33.9527027027027,90.05,2018-19
Oakdale High,Oakdale Joint Unified,Stanislaus,350.0,37.0,25.0,24.0,24.0,23.0,26.0,10.571428571428571,70.27,2018-19
Oakland Charter High,Oakland Unified,Alameda,110.0,18.0,23.0,22.0,25.0,22.0,11.0,16.363636363636363,61.11,2018-19
Oakland High,Oakland Unified,Alameda,328.0,74.0,19.0,19.0,19.0,19.0,30.0,22.5609756097561,40.54,2018-19
Oakland School for the Arts,Oakland Unified,Alameda,103.0,30.0,26.0,26.0,21.0,23.0,22.0,29.126213592233007,73.33,2018-19
Oakland Technical High,Oakland Unified,Alameda,492.0,131.0,26.0,25.0,25.0,24.0,96.0,26.6260162601626,73.28,2018-19
Oakland Unity High,Oakland Unified,Alameda,81.0,53.0,17.0,15.0,19.0,18.0,12.0,65.4320987654321,22.64,2018-19
Oakmont High,Roseville Joint Union High,Placer,482.0,74.0,26.0,25.0,25.0,25.0,62.0,15.352697095435685,83.78,2018-19
Ocean View High,Huntington Beach Union High,Orange,324.0,19.0,23.0,23.0,22.0,24.0,12.0,5.864197530864197,63.16,2018-19
Oceanside High,Oceanside Unified,San Diego,530.0,76.0,21.0,19.0,20.0,20.0,34.0,14.339622641509434,44.74,2018-19
O'Connell (John) High,San Francisco Unified,San Francisco,99.0,38.0,17.0,16.0,17.0,18.0,7.0,38.38383838383838,18.42,2018-19
OCSA,Santa Ana Unified,Orange,379.0,190.0,29.0,29.0,25.0,26.0,171.0,50.131926121372025,90.0,2018-19
Olympian High,Sweetwater Union High,San Diego,631.0,98.0,23.0,22.0,22.0,22.0,62.0,15.530903328050712,63.27,2018-19
Ontario High,Chaffey Joint Union High,San Bernardino,588.0,81.0,19.0,17.0,19.0,18.0,19.0,13.77551020408163,23.46,2018-19
Orange Cove High,Kings Canyon Joint Unified,Fresno,122.0,33.0,16.0,15.0,16.0,16.0,2.0,27.049180327868854,6.06,2018-19
Orange Glen High,Escondido Union High,San Diego,497.0,101.0,19.0,18.0,18.0,19.0,24.0,20.321931589537222,23.76,2018-19
Orcutt Academy Charter,Orcutt Union Elementary,Santa Barbara,145.0,49.0,25.0,26.0,25.0,25.0,40.0,33.793103448275865,81.63,2018-19
Orestimba High,Newman-Crows Landing Unified,Stanislaus,216.0,18.0,23.0,22.0,23.0,22.0,10.0,8.333333333333332,55.56,2018-19
Orland High,Orland Joint Unified,Glenn,166.0,37.0,23.0,21.0,19.0,21.0,17.0,22.289156626506024,45.95,2018-19
Orosi High,Cutler-Orosi Joint Unified,Tulare,237.0,85.0,17.0,15.0,17.0,17.0,10.0,35.86497890295359,11.76,2018-19
Oroville High,Oroville Union High,Butte,225.0,19.0,21.0,19.0,20.0,21.0,7.0,8.444444444444445,36.84,2018-19
Orthopaedic Hospital,Los Angeles Unified,Los Angeles,168.0,69.0,18.0,17.0,18.0,19.0,18.0,41.07142857142857,26.09,2018-19
Otay Ranch Senior High,Sweetwater Union High,San Diego,626.0,67.0,22.0,21.0,21.0,20.0,35.0,10.702875399361023,52.24,2018-19
Oxford Academy,Anaheim Union High,Orange,200.0,56.0,31.0,32.0,30.0,30.0,56.0,28.000000000000004,100.0,2018-19
Oxnard High,Oxnard Union High,Ventura,596.0,31.0,21.0,22.0,22.0,21.0,17.0,5.201342281879195,54.84,2018-19
Pacheco High,Los Banos Unified,Merced,418.0,39.0,20.0,20.0,19.0,19.0,17.0,9.330143540669857,43.59,2018-19
Pacific Collegiate Charter,Santa Cruz County Office of Education,Santa Cruz,90.0,48.0,29.0,29.0,27.0,27.0,46.0,53.333333333333336,95.83,2018-19
Pacific Grove High,Pacific Grove Unified,Monterey,138.0,31.0,26.0,27.0,26.0,26.0,26.0,22.463768115942027,83.87,2018-19
Pacific High,San Bernardino City Unified,San Bernardino,263.0,77.0,16.0,16.0,16.0,17.0,7.0,29.277566539923956,9.09,2018-19
Pacifica High,Garden Grove Unified,Orange,395.0,36.0,24.0,24.0,25.0,24.0,28.0,9.113924050632912,77.78,2018-19
Pacifica High,Oxnard Union High,Ventura,726.0,16.0,22.0,20.0,21.0,21.0,8.0,2.203856749311295,50.0,2018-19
Pajaro Valley High,Pajaro Valley Unified,Santa Cruz,294.0,71.0,18.0,16.0,17.0,18.0,12.0,24.149659863945576,16.9,2018-19
Palisades Charter High,Los Angeles Unified,Los Angeles,714.0,207.0,28.0,28.0,26.0,26.0,174.0,28.991596638655466,84.06,2018-19
Palm Desert High,Desert Sands Unified,Riverside,435.0,84.0,26.0,24.0,23.0,24.0,63.0,19.310344827586206,75.0,2018-19
Palm Springs High,Palm Springs Unified,Riverside,418.0,119.0,19.0,18.0,19.0,19.0,34.0,28.4688995215311,28.57,2018-19
Palmdale Aerospace Academy,Palmdale Elementary,Los Angeles,167.0,31.0,21.0,21.0,20.0,21.0,15.0,18.562874251497004,48.39,2018-19
Palmdale High,Antelope Valley Union High,Los Angeles,621.0,24.0,19.0,18.0,17.0,18.0,6.0,3.864734299516908,25.0,2018-19
Palo Alto High,Palo Alto Unified,Santa Clara,507.0,231.0,28.0,28.0,28.0,28.0,192.0,45.562130177514796,83.12,2018-19
Paloma Valley High,Perris Union High,Riverside,717.0,73.0,21.0,19.0,20.0,20.0,36.0,10.181311018131103,49.32,2018-19
Palos Verdes High,Palos Verdes Peninsula Unified,Los Angeles,451.0,208.0,26.0,27.0,26.0,25.0,181.0,46.11973392461197,87.02,2018-19
Palos Verdes Peninsula High,Palos Verdes Peninsula Unified,Los Angeles,609.0,217.0,28.0,28.0,27.0,27.0,194.0,35.63218390804598,89.4,2018-19
Paradise Senior High,Paradise Unified,Butte,231.0,22.0,23.0,21.0,24.0,23.0,16.0,9.523809523809524,72.73,2018-19
Paramount High,Paramount Unified,Los Angeles,1135.0,61.0,21.0,21.0,21.0,22.0,35.0,5.3744493392070485,57.38,2018-19
Parlier High,Parlier Unified,Fresno,201.0,33.0,18.0,16.0,18.0,18.0,8.0,16.417910447761194,24.24,2018-19
Pasadena High,Pasadena Unified,Los Angeles,414.0,47.0,22.0,20.0,20.0,20.0,23.0,11.352657004830919,48.94,2018-19
