school_name,district_name,county_name,grade_12_enrollment,total_num_test_takers,avg_reading,avg_english,avg_math,avg_science,num_test_takers_21,perc_participation,pct_test_takers_21,year
N/A,El Segundo Unified,Los Angeles,319.0,109.0,25.0,25.0,24.0,24.0,78.0,34.1692789968652,71.56,2018-19
N/A,Glendale Unified,Los Angeles,1978.0,221.0,26.0,26.0,26.0,25.0,185.0,11.172901921132457,83.71,2018-19
N/A,Glendora Unified,Los Angeles,639.0,79.0,25.0,23.0,24.0,23.0,66.0,12.363067292644757,83.54,2018-19
N/A,Hawthorne,Los Angeles,112.0,112.0,20.0,20.0,21.0,19.0,49.0,100.0,43.75,2018-19
N/A,Inglewood Unified,Los Angeles,695.0,227.0,17.0,16.0,17.0,17.0,37.0,32.66187050359712,16.3,2018-19
N/A,La Canada Unified,Los Angeles,347.0,138.0,29.0,29.0,29.0,28.0,130.0,39.76945244956772,94.2,2018-19
N/A,Las Virgenes Unified,Los Angeles,986.0,322.0,27.0,27.0,25.0,25.0,269.0,32.657200811359026,83.54,2018-19
N/A,Lawndale Elementary,Los Angeles,126.0,96.0,17.0,17.0,18.0,17.0,19.0,76.19047619047619,19.79,2018-19
N/A,Lennox,Los Angeles,296.0,232.0,17.0,16.0,17.0,17.0,40.0,78.37837837837837,17.24,2018-19
N/A,Long Beach Unified,Los Angeles,5929.0,582.0,23.0,22.0,22.0,22.0,330.0,9.81615786810592,56.7,2018-19
N/A,Los Angeles Unified,Los Angeles,41873.0,9336.0,19.0,18.0,19.0,19.0,2774.0,22.295990256251045,29.71,2018-19
N/A,Lynwood Unified,Los Angeles,1072.0,160.0,18.0,17.0,17.0,17.0,28.0,14.925373134328357,17.5,2018-19
N/A,Monrovia Unified,Los Angeles,473.0,53.0,21.0,19.0,19.0,19.0,16.0,11.20507399577167,30.19,2018-19
N/A,Montebello Unified,Los Angeles,2333.0,276.0,19.0,18.0,18.0,19.0,75.0,11.830261465923703,27.17,2018-19
N/A,Norwalk-La Mirada Unified,Los Angeles,1403.0,171.0,19.0,18.0,18.0,19.0,56.0,12.188168210976478,32.75,2018-19
N/A,Palmdale Elementary,Los Angeles,402.0,31.0,21.0,21.0,20.0,21.0,15.0,7.711442786069651,48.39,2018-19
N/A,Palos Verdes Peninsula Unified,Los Angeles,1118.0,426.0,27.0,28.0,27.0,26.0,376.0,38.10375670840787,88.26,2018-19
N/A,Paramount Unified,Los Angeles,1281.0,61.0,21.0,21.0,21.0,22.0,35.0,4.761904761904762,57.38,2018-19
